Uniprot,Gene description,Organ,GO
P12829,Myosin light chain 4,Heart,GO:0031672;GO:0005829;GO:0016460;GO:0051015;GO:0003785;GO:0005509;GO:0032038;GO:0060048;GO:0032781;GO:0002026
Q5VZP5,Serine/threonine/tyrosine interacting like 2,Heart,GO:0005737;GO:0030017;GO:0033549;GO:0008138;GO:0043409
Q147U7,Single-pass membrane protein with coiled-coil domains 1,Heart,GO:0016020
Q86TD4,Sarcalumenin,Heart,GO:0033018;GO:0033017;GO:0005525;GO:0002115
Q6P5Q4,Leiomodin 2,Heart,GO:0005884;GO:0005856;GO:0031430;GO:0030016;GO:0030017;GO:0005865;GO:0003779;GO:0003785;GO:0005523;GO:0007015;GO:0030041;GO:0045010;GO:0006936;GO:0030239;GO:0051694;GO:0030838;GO:0045214
Q9UHP9,Small muscle protein X-linked,Heart,GO:0043034;GO:0031430;GO:0005927;GO:0005634;GO:0006941
P35609,Actinin alpha 2,Heart,GO:0005884;GO:0030054;GO:0042995;GO:0030864;GO:0005856;GO:0005829;GO:0043197;GO:0070062;GO:0005576;GO:0030175;GO:0005925;GO:0098978;GO:0031093;GO:0098871;GO:0098839;GO:0099092;GO:0031143;GO:0030018;GO:0051015;GO:0005509;GO:0008092;GO:0051373;GO:0042802;GO:0005178;GO:0030274;GO:0030374;GO:0005546;GO:0019904;GO:0008307;GO:0098973;GO:0031432;GO:0070080;GO:0044325;GO:0030036;GO:0051695;GO:0055013;GO:0007155;GO:0048041;GO:0030035;GO:0055001;GO:1901017;GO:0043267;GO:2000009;GO:0086097;GO:2001259;GO:2001137;GO:1901018;GO:0043268;GO:0072659;GO:0042981;GO:0042391;GO:0045214
P02144,Myoglobin,Heart,GO:0005829;GO:0070062;GO:0016528;GO:0020037;GO:0046872;GO:0098809;GO:0019825;GO:0005344;GO:0004601;GO:0050873;GO:0043353;GO:0007507;GO:0015671;GO:0019430;GO:0001666
P52179,Myomesin 1,Heart,GO:0031430;GO:0005863;GO:0042802;GO:0019900;GO:0042803;GO:0008307;GO:0002074;GO:0010628;GO:0050714;GO:0010737;GO:0045214
P63316,"Troponin C1, slow skeletal and cardiac type",Heart,GO:1990584;GO:0005829;GO:0005861;GO:0051015;GO:0005509;GO:0048306;GO:0042803;GO:0031013;GO:0031014;GO:0060048;GO:0002086;GO:0043462;GO:0006937;GO:0032972;GO:0010038;GO:0003009;GO:0014883;GO:0055010
A2RUH7,Myosin binding protein H like,Heart,GO:0036379;GO:0030017;GO:0001701
A1L4K1,Fibronectin type III and SPRY domain containing 2,Heart,GO:0005634;GO:0048471;GO:0016529
Q8NDY3,ADP-ribosylhydrolase like 1,Heart,GO:0030017;GO:0003875;GO:0000287;GO:0003242;GO:0055003;GO:0051725
O75112,LIM domain binding 3,Heart,GO:0005912;GO:0005856;GO:0031941;GO:0048471;GO:0031143;GO:0001725;GO:0030018;GO:0003779;GO:0008092;GO:0046872;GO:0051371;GO:0005080;GO:0030036;GO:0007507;GO:0061061;GO:0045214
Q6PEY2,Tubulin alpha 3e,Heart,GO:0036064;GO:0005737;GO:0005874;GO:0015630;GO:0005634;GO:0036126;GO:0005525;GO:0016787;GO:0046872;GO:0005200;GO:0030317;GO:0036098;GO:0000226;GO:0000278
P17540,"Creatine kinase, mitochondrial 2",Heart,GO:0005743;GO:0005739;GO:0005524;GO:0004111;GO:0006936;GO:0046314
P48050,Potassium inwardly rectifying channel subfamily J member 4,Heart,GO:0016323;GO:0030659;GO:0005886;GO:0045211;GO:0008076;GO:0005242;GO:0030165;GO:1990573;GO:0006813;GO:0034765
P0C263,SH3 domain binding kinase family member 2,Heart,GO:0004676;GO:0004679;GO:0005524;GO:0004677;GO:0004694;GO:0044024;GO:0072371;GO:1990244;GO:0035979;GO:0044025;GO:0140823;GO:0035175;GO:0044022;GO:0140855;GO:0035402;GO:0072354;GO:0140857;GO:0035403;GO:0044023;GO:0004708;GO:0106310;GO:0072518;GO:0004711;GO:0000165
P0DJH9,RD3 like,Heart,
Q6ZP80,Transmembrane protein 182,Heart,GO:0005886;GO:0007517;GO:0014906;GO:0014908;GO:0045662;GO:1901740
Q8N3L3,Taxilin beta,Heart,GO:0005737;GO:0019905
P68032,Actin alpha cardiac muscle 1,Heart,GO:0005884;GO:0072562;GO:0044297;GO:0005737;GO:0005829;GO:0070062;GO:0005615;GO:0030175;GO:0005925;GO:0098978;GO:0031674;GO:0030027;GO:0016020;GO:0030017;GO:0005524;GO:0016787;GO:0000146;GO:0017022;GO:0007015;GO:0030048;GO:0033275;GO:0031032;GO:0055008;GO:0055003;GO:0060047;GO:0090131;GO:0043066;GO:0010628;GO:0030240
Q14524,Sodium voltage-gated channel alpha subunit 5,Heart,GO:0005901;GO:0009986;GO:0005783;GO:0014704;GO:0016328;GO:0016020;GO:0005730;GO:0005654;GO:0048471;GO:0005886;GO:0042383;GO:0030315;GO:0001518;GO:0030018;GO:0030506;GO:0005516;GO:0019899;GO:0017134;GO:0050998;GO:0019904;GO:0019901;GO:0097110;GO:0044325;GO:0031625;GO:0005248;GO:0086060;GO:0086061;GO:0086006;GO:0086062;GO:0086063;GO:0086014;GO:0086016;GO:0086067;GO:0003360;GO:0086043;GO:0003161;GO:0086002;GO:0060048;GO:0003231;GO:0071277;GO:0021549;GO:0051899;GO:0086010;GO:0098912;GO:0086045;GO:0086048;GO:0086012;GO:0086047;GO:0086046;GO:0042475;GO:0045760;GO:0050679;GO:0010765;GO:0060371;GO:0060372;GO:0086004;GO:0002027;GO:0086091;GO:1902305;GO:0060373;GO:0060307;GO:0014894;GO:0086015;GO:0035725;GO:0006814;GO:0021537;GO:0086005
P24310,Cytochrome c oxidase subunit 7A1,Heart,GO:0005743;GO:0005739;GO:0098803;GO:0045277;GO:0004129;GO:0006091;GO:0006123;GO:0097250;GO:0002082
Q9H987,Synaptopodin 2 like,Heart,GO:0015629;GO:0005634;GO:0030018;GO:0003779;GO:0003007;GO:0032233;GO:0035025;GO:0051496;GO:0045214
Q12988,Heat shock protein family B (small) member 3,Heart,GO:0005737;GO:0016607;GO:0005634;GO:0006986
P0DPH8,Tubulin alpha 3d,Heart,GO:0005737;GO:0005874;GO:0015630;GO:0005525;GO:0016787;GO:0046872;GO:0005200;GO:0000226;GO:0000278
Q8WXH4,Ankyrin repeat and SOCS box containing 11,Heart,GO:0031466;GO:0005829;GO:0005783;GO:1990756;GO:0030968;GO:0045732;GO:0043161;GO:0070979;GO:0016567
P05413,Fatty acid binding protein 3,Heart,GO:0005829;GO:0070062;GO:0005615;GO:0005634;GO:0008092;GO:0036041;GO:0070538;GO:0050873;GO:0042632;GO:0032365;GO:0015909;GO:0008285;GO:0055091;GO:0140214;GO:0071073;GO:0046320;GO:2001245
Q9BYV2,Tripartite motif containing 54,Heart,GO:0005737;GO:0005874;GO:0005875;GO:0030018;GO:0008017;GO:0061630;GO:0008270;GO:0030154;GO:0045087;GO:0007017;GO:0007026;GO:0007165
P16615,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2,Heart,GO:0090534;GO:0005783;GO:0005789;GO:0014801;GO:0016020;GO:0005886;GO:0031095;GO:0097470;GO:0016529;GO:0033017;GO:0005524;GO:0016887;GO:0005509;GO:0019899;GO:0106222;GO:0005388;GO:0086039;GO:0044548;GO:0044325;GO:0000045;GO:0016240;GO:1990036;GO:0070588;GO:1903515;GO:0014898;GO:0007155;GO:0034599;GO:0032469;GO:0008544;GO:0006984;GO:0006874;GO:1990456;GO:0034220;GO:0045822;GO:1900121;GO:0070050;GO:0140056;GO:0010666;GO:0032470;GO:0010460;GO:1903233;GO:1903779;GO:0098909;GO:0086036;GO:0010882;GO:0002026;GO:0055119;GO:0034976;GO:0070296;GO:0033292;GO:0014883
Q32MK0,Myosin light chain kinase 3,Heart,GO:0015629;GO:0005737;GO:0005829;GO:0005524;GO:0004683;GO:0004687;GO:0055003;GO:0071347;GO:1905710;GO:0060298;GO:1905075;GO:0006468;GO:0045214;GO:0048769;GO:0007165
P15259,Phosphoglycerate mutase 2,Heart,GO:0005829;GO:0070062;GO:0005634;GO:0046538;GO:0004082;GO:0016787;GO:0042802;GO:0004619;GO:0061621;GO:0006094;GO:0006096;GO:0007219;GO:0046689;GO:0007283;GO:0006941
Q92736,Ryanodine receptor 2,Heart,GO:0034704;GO:0014701;GO:0016020;GO:0005886;GO:0032991;GO:0042383;GO:0016529;GO:0033017;GO:0005790;GO:0030018;GO:0005262;GO:0005509;GO:0048763;GO:0005516;GO:0019899;GO:0042802;GO:0015278;GO:0034236;GO:0034237;GO:0005219;GO:0043924;GO:0044325;GO:0006816;GO:0060402;GO:0019722;GO:0060048;GO:0003300;GO:0086064;GO:0071313;GO:0071872;GO:0005513;GO:0003143;GO:0051649;GO:0072599;GO:0006874;GO:0003220;GO:0010460;GO:0051284;GO:0098735;GO:0086029;GO:0098910;GO:0098904;GO:0055117;GO:0010882;GO:0010881;GO:0051480;GO:0002027;GO:0098907;GO:0098911;GO:0051209;GO:0014808;GO:0031000;GO:0001666;GO:0014850;GO:0035994;GO:0051775;GO:0070296;GO:0006941;GO:0097050;GO:0086005
Q2M3C7,"SPHK1 interactor, AKAP domain containing",Heart,GO:0005737;GO:0005739;GO:0051018
Q15327,Ankyrin repeat domain 1,Heart,GO:0005737;GO:0005829;GO:0001650;GO:0031674;GO:0005654;GO:0005634;GO:0005667;GO:0003677;GO:0042826;GO:0002039;GO:0070412;GO:0061629;GO:0031432;GO:0003713;GO:0003714;GO:0055008;GO:0071347;GO:0071222;GO:0071260;GO:0071560;GO:0071356;GO:0071466;GO:2000279;GO:0141212;GO:0043065;GO:0043517;GO:0050714;GO:0006357;GO:0035994;GO:0045214;GO:0035914
P48169,Gamma-aminobutyric acid type A receptor subunit alpha4,Heart,GO:0034707;GO:0032590;GO:1902711;GO:0098982;GO:0043005;GO:0005886;GO:0098794;GO:0099634;GO:0045202;GO:1902495;GO:0008503;GO:0004890;GO:0022851;GO:1904315;GO:1902476;GO:0007214;GO:1904862;GO:0060078;GO:0051932
Q8NB12,SET and MYND domain containing 1,Heart,GO:0005737;GO:0005634;GO:0003677;GO:0140999;GO:0046872;GO:0003714;GO:0007507;GO:0032259;GO:0045663;GO:0010831;GO:0035914
Q13508,ADP-ribosyltransferase 3 (inactive),Heart,GO:0070062;GO:0005576;GO:0005886;GO:0098552;GO:0003950;GO:0106274;GO:0016779
Q9UI47,Catenin alpha 3,Heart,GO:0005912;GO:0005737;GO:0005856;GO:0030057;GO:0005916;GO:0030027;GO:0051015;GO:0008013;GO:0045296;GO:0086073;GO:0016477;GO:0098609;GO:0086091;GO:0098911
Q5VWP3,Muscular LMNA interacting protein,Heart,GO:0005829;GO:0005635;GO:0031981;GO:0005634;GO:0016605;GO:0042383;GO:0005521;GO:0003714;GO:0010614;GO:1903243;GO:0000122;GO:0045944;GO:0006366
