Uniprot,Gene description,Organ,GO
Q05586,Glutamate ionotropic receptor NMDA type subunit 1,Brain,GO:0009986;GO:0005737;GO:0030425;GO:0043197;GO:0005789;GO:0060076;GO:0034702;GO:0043005;GO:0098878;GO:0017146;GO:0005886;GO:0014069;GO:0098839;GO:0045211;GO:0045202;GO:0043083;GO:0097060;GO:0008021;GO:0043195;GO:0001540;GO:0005509;GO:0005516;GO:0016595;GO:0022849;GO:0016594;GO:0015276;GO:0015280;GO:0004972;GO:0044877;GO:0038023;GO:0022824;GO:0007420;GO:0055074;GO:0097553;GO:0070588;GO:0007268;GO:0098976;GO:0060079;GO:0035235;GO:0098655;GO:0006812;GO:0010524;GO:2000463;GO:1903428;GO:0051968;GO:0045944;GO:0018964;GO:0051290;GO:0042391;GO:1904062;GO:0048168;GO:0048167;GO:0045471;GO:1905429;GO:0035725;GO:0008542
Q5XKR4,Orthopedia homeobox,Brain,GO:0000785;GO:0001650;GO:0016604;GO:0005654;GO:0003677;GO:0000981;GO:0001227;GO:0000977;GO:0071542;GO:0021879;GO:0021979;GO:0000122;GO:0007405;GO:0061101;GO:0021985;GO:0030182;GO:0002052
Q9Y466,Nuclear receptor subfamily 2 group E member 1,Brain,GO:0000785;GO:0005654;GO:0001228;GO:0000981;GO:0001227;GO:0042826;GO:0004879;GO:0003707;GO:0000978;GO:1990837;GO:0008270;GO:0002118;GO:0021764;GO:0001525;GO:0021960;GO:0006915;GO:0043615;GO:0048708;GO:0001662;GO:0030154;GO:0045165;GO:0021895;GO:0021542;GO:0030198;GO:0021872;GO:0021819;GO:0060291;GO:0043066;GO:0048712;GO:2000178;GO:0045665;GO:0000122;GO:0007399;GO:0007405;GO:0021772;GO:0045766;GO:0045787;GO:0002052;GO:2000648;GO:0090049;GO:0048814;GO:0060164;GO:0060041;GO:0035176;GO:0035019;GO:0007601
Q9NYG8,Potassium two pore domain channel subfamily K member 4,Brain,GO:0033268;GO:0005886;GO:0034705;GO:0042802;GO:0098782;GO:0046872;GO:0015271;GO:0005267;GO:0022841;GO:0097604;GO:0071468;GO:0071469;GO:1904551;GO:0071398;GO:0071260;GO:0071502;GO:0050976;GO:0007613;GO:0019228;GO:0071805;GO:0006813;GO:1990478;GO:0019233;GO:0050951
P84074,Hippocalcin,Brain,GO:0030424;GO:0005737;GO:0005829;GO:0032839;GO:0032590;GO:0044327;GO:0098978;GO:0016020;GO:0032809;GO:0043204;GO:0003779;GO:0005509;GO:0042802;GO:0019900;GO:0019722;GO:0071277;GO:0071257;GO:1905232;GO:0048839;GO:0090314;GO:0099149;GO:0009966;GO:1901385;GO:1904010;GO:1901986;GO:0060041
P60201,Proteolipid protein 1,Brain,GO:0034683;GO:0043209;GO:0005886;GO:0045202;GO:0042802;GO:0044877;GO:0019911;GO:0005198;GO:0098990;GO:0014002;GO:0061564;GO:0008366;GO:0022010;GO:0007268;GO:0006954;GO:0042759;GO:1904427;GO:0030335;GO:0010628;GO:0021762
Q96P66,G protein-coupled receptor 101,Brain,GO:0005886;GO:0043235;GO:0004930;GO:0071880;GO:0043410
O95665,Neurotensin receptor 2,Brain,GO:0005886;GO:0016492;GO:0004930;GO:0007166;GO:0007218;GO:0007200;GO:0042391;GO:0007600
Q92952,Potassium calcium-activated channel subfamily N member 1,Brain,GO:0043005;GO:0043025;GO:0005886;GO:0045202;GO:0008076;GO:0030018;GO:0015269;GO:0005516;GO:0005242;GO:0016286;GO:0007268;GO:0071805;GO:0006813
P07101,Tyrosine hydroxylase,Brain,GO:0030424;GO:0005737;GO:0009898;GO:0031410;GO:0005829;GO:0030425;GO:0033162;GO:0005739;GO:0043005;GO:0005634;GO:0043204;GO:0048471;GO:0005790;GO:0008021;GO:0043195;GO:0016597;GO:0035240;GO:0019899;GO:0008199;GO:0008198;GO:0042802;GO:0019825;GO:0019904;GO:0034617;GO:0004511;GO:0015842;GO:0009653;GO:0009887;GO:0071312;GO:0071333;GO:0071363;GO:0071287;GO:0071316;GO:0071466;GO:0021987;GO:0042745;GO:0042416;GO:0006585;GO:0042755;GO:0048596;GO:0042418;GO:0042462;GO:0006631;GO:0016137;GO:0007507;GO:0003007;GO:1990384;GO:0033076;GO:0007612;GO:0007626;GO:0007617;GO:0007613;GO:0042421;GO:0018963;GO:0052314;GO:0043473;GO:0008016;GO:0014823;GO:0001975;GO:0051412;GO:0051602;GO:0032355;GO:0045471;GO:0045472;GO:0009635;GO:0001666;GO:0035902;GO:0035900;GO:0009416;GO:0032496;GO:0031667;GO:0043434;GO:0046684;GO:0009651;GO:0010043;GO:0035176;GO:0006665;GO:0001963;GO:0042214;GO:0007601
Q8TAK6,Oligodendrocyte transcription factor 1,Brain,GO:0000785;GO:0005634;GO:0000981;GO:0070888;GO:0046983;GO:0061564;GO:0048663;GO:0014003;GO:0045944;GO:0007423
Q9NQ76,Matrix extracellular phosphoglycoprotein,Brain,GO:0005788;GO:0031012;GO:0005576;GO:1990430;GO:0005201;GO:0031214;GO:0001501
A6NDD5,Synapse differentiation inducing 1 like,Brain,GO:0005794;GO:0043231;GO:0016020
Q9P2W3,G protein subunit gamma 13,Brain,GO:0030425;GO:0005834;GO:0005886;GO:0045202;GO:0031681;GO:0007186;GO:0007200;GO:0050909
Q8WXS5,Calcium voltage-gated channel auxiliary subunit gamma 8,Brain,GO:0032281;GO:0030666;GO:1990454;GO:0005886;GO:0014069;GO:0098839;GO:0005891;GO:0005246;GO:0016247;GO:0005245;GO:0006816;GO:0099590;GO:0098943;GO:0051968;GO:0098970;GO:2000311;GO:0019226
P19622,Engrailed homeobox 2,Brain,GO:0000785;GO:0001650;GO:0005730;GO:0005654;GO:0005634;GO:0000981;GO:0000978;GO:1990837;GO:0071542;GO:1990403;GO:0030902;GO:0030901;GO:0043524;GO:0048666;GO:0030182;GO:0045944;GO:0006357
P58549,FXYD domain containing ion transport regulator 7,Brain,GO:0005886;GO:0017080;GO:1903278;GO:0006813;GO:0006814
