Uniprot,Gene description,Organ,GO
Q8NA57,Chromosome 12 open reading frame 50,Testis,GO:0016973
Q8TC99,Fibronectin type III domain containing 8,Testis,GO:0005634
Q8IYX1,TBC1 domain family member 21,Testis,GO:0001669;GO:0005856;GO:0070062;GO:0097225;GO:0003779;GO:0005096;GO:0031267;GO:0030317;GO:0007288;GO:0120317;GO:0007283
Q05952,Transition protein 2,Testis,GO:0005730;GO:0000786;GO:0003677;GO:0008270;GO:0007340;GO:0007341;GO:0010954;GO:0035092;GO:0007283
Q8NHX4,Spermatogenesis associated 3,Testis,
Q8WTQ4,Chromosome 16 open reading frame 78,Testis,GO:0005634
Q8N5N4,Chromosome 3 open reading frame 22,Testis,
Q7Z5L4,Spermatogenesis associated 19,Testis,GO:0005741;GO:0005739;GO:0036126;GO:0097225;GO:0030154;GO:0030382;GO:0007283
Q8WWF5,Zinc and ring finger 4,Testis,GO:0005737;GO:0005783;GO:0005789;GO:0046872;GO:0061630;GO:0045786;GO:0070433;GO:0043161;GO:0016567;GO:0006511
Q14093,Cylicin 2,Testis,GO:0033150;GO:0005634;GO:0005200;GO:0030154;GO:0007283
Q8NA61,Chibby family member 2,Testis,GO:0031410;GO:0042802
Q8TC36,Sad1 and UNC84 domain containing 5,Testis,GO:0005794;GO:0034993;GO:0005635;GO:0005637;GO:0120212;GO:0043495;GO:0007286;GO:0007283
Q6UWQ5,Lysozyme like 1,Testis,GO:0005576;GO:0003796
Q92527,Ankyrin repeat domain 7,Testis,GO:0005813;GO:0005654
Q8TAZ6,CKLF like MARVEL transmembrane domain containing 2,Testis,GO:0005615;GO:0016020;GO:0005125;GO:0006935
Q6UXV1,IZUMO family member 2,Testis,GO:0016020
Q6PEX7,Testis expressed 38,Testis,GO:0016020
A8MZG2,Chromosome 16 open reading frame 90,Testis,
Q9HBV2,Sperm acrosome associated 1,Testis,GO:0002080;GO:0002079;GO:0001675
Q9HD64,X antigen family member 1A,Testis,
Q96A04,TSSK6 activating cochaperone,Testis,GO:0005737;GO:0051087
Q9H0I9,Transketolase like 2,Testis,GO:0005737;GO:0046872;GO:0030976;GO:0004802
Q8TC90,Coiled-coil glutamate rich protein 1,Testis,
Q99965,ADAM metallopeptidase domain 2,Testis,GO:0009986;GO:0005886;GO:0032991;GO:0005178;GO:0004222;GO:0008237;GO:0030534;GO:0007339;GO:0007155;GO:0007342;GO:0010467;GO:0008584;GO:0010628;GO:0006508;GO:0008542
Q8N688,Defensin beta 123,Testis,GO:0005576;GO:0050829;GO:0045087
Q96M95,Coiled-coil domain containing 42,Testis,GO:0005813;GO:0002177;GO:0048471;GO:0120212;GO:0097228;GO:0001675;GO:0007098;GO:0060271;GO:0007286
Q8IWF9,Coiled-coil domain containing 83,Testis,
Q8N715,Coiled-coil domain containing 185,Testis,
Q8WWU5,T-complex 11,Testis,GO:0001669;GO:0016020;GO:0036126;GO:0097225;GO:0007189;GO:0007281;GO:0010737;GO:1902490;GO:0007283
Q9H4G1,Cystatin 9 like,Testis,GO:0005615;GO:0004869;GO:0019730
Q8TAQ9,Sad1 and UNC84 domain containing 3,Testis,GO:0034993;GO:0005635;GO:0005637;GO:0043495
Q8N4L4,Spermatid maturation 1,Testis,GO:0005737;GO:0016020;GO:0030317;GO:0007291
Q8N0W7,FMR1 neighbor,Testis,GO:0016020
