Uniprot,Gene description,Organ,GO
Q5TZF3,Ankyrin repeat domain 45,Testis,GO:0032154;GO:0005737;GO:0090543;GO:0030496;GO:0008283
Q9Y5I1,Protocadherin alpha 11,Brain,GO:0005886;GO:0005509;GO:0007155;GO:0007156;GO:0007399
Q14831,Glutamate metabotropic receptor 7,Brain,GO:0032279;GO:0030424;GO:0005938;GO:0030425;GO:0043198;GO:0016020;GO:0005886;GO:0045211;GO:0048786;GO:0043235;GO:0010855;GO:0005509;GO:0016595;GO:0008066;GO:0001642;GO:0030165;GO:0046983;GO:0070905;GO:0007196;GO:0007193;GO:0061564;GO:0007268;GO:0007216;GO:0070085;GO:0014050;GO:0051966;GO:0007605
Q9ULZ0,TP53 target 3 family member E,Testis,GO:0005737;GO:0005634
O95936,Eomesodermin,Brain,GO:0000785;GO:0005654;GO:0005634;GO:0031490;GO:0003677;GO:0000981;GO:0000978;GO:0061629;GO:0043565;GO:1990837;GO:0002250;GO:0048708;GO:0007420;GO:0010002;GO:0002302;GO:0060706;GO:0021895;GO:0021796;GO:0006338;GO:0001706;GO:0001714;GO:0010467;GO:0048382;GO:0001707;GO:0060809;GO:0043433;GO:0000122;GO:0001764;GO:0021772;GO:0045893;GO:0045944;GO:0006357;GO:0035914;GO:0019827;GO:0001829
Q5VZ72,IZUMO family member 3,Testis,GO:0002079;GO:0005886;GO:0042803;GO:0001675
A8MYJ7,Tetratricopeptide repeat domain 34,Testis,
Q16822,"Phosphoenolpyruvate carboxykinase 2, mitochondrial",Kidney,GO:0005759;GO:0005739;GO:0005525;GO:0030145;GO:0004613;GO:0004611;GO:0071549;GO:0071333;GO:0032869;GO:0071356;GO:0006094;GO:0046327;GO:0070365;GO:0006116;GO:0006107;GO:0032024;GO:0019543;GO:0032496;GO:0042594
Q17RY6,Lymphocyte antigen 6 family member K,Testis,GO:0001669;GO:0005576;GO:0045121;GO:0005886;GO:0098552;GO:0007339
P0DMW5,Small integral membrane protein 10 like 2B,Heart,
Q12794,Hyaluronidase 1,Liver,GO:0031410;GO:0070062;GO:0005615;GO:0036117;GO:0043202;GO:0005764;GO:0052757;GO:0004415;GO:0005975;GO:0051216;GO:0044344;GO:0071347;GO:0071467;GO:0036120;GO:0071356;GO:0071493;GO:0030207;GO:0060272;GO:0006027;GO:0030214;GO:0030212;GO:0006954;GO:0030308;GO:0045766;GO:0045785;GO:0030307;GO:1900106;GO:0046677;GO:0000302;GO:0009615
Q96KV7,WD repeat domain 90,Testis,GO:0005814;GO:0005813;GO:0005737;GO:0060271
Q92736,Ryanodine receptor 2,Heart,GO:0034704;GO:0014701;GO:0016020;GO:0005886;GO:0032991;GO:0042383;GO:0016529;GO:0033017;GO:0005790;GO:0030018;GO:0005262;GO:0005509;GO:0048763;GO:0005516;GO:0019899;GO:0042802;GO:0015278;GO:0034236;GO:0034237;GO:0005219;GO:0043924;GO:0044325;GO:0006816;GO:0060402;GO:0019722;GO:0060048;GO:0003300;GO:0086064;GO:0071313;GO:0071872;GO:0005513;GO:0003143;GO:0051649;GO:0072599;GO:0006874;GO:0003220;GO:0010460;GO:0051284;GO:0098735;GO:0086029;GO:0098910;GO:0098904;GO:0055117;GO:0010882;GO:0010881;GO:0051480;GO:0002027;GO:0098907;GO:0098911;GO:0051209;GO:0014808;GO:0031000;GO:0001666;GO:0014850;GO:0035994;GO:0051775;GO:0070296;GO:0006941;GO:0097050;GO:0086005
Q15800,Methylsterol monooxygenase 1,Liver,GO:0005783;GO:0005789;GO:0016020;GO:0005886;GO:0000254;GO:0005506;GO:0006695;GO:0006631;GO:0008202;GO:0016126
Q86Z14,Klotho beta,Liver,GO:0005886;GO:0017134;GO:0005104;GO:0004553;GO:0005975;GO:0008284;GO:0090080
P78333,Glypican 5,Kidney,GO:0009986;GO:0062023;GO:0005576;GO:0005796;GO:0043202;GO:0016020;GO:0005886;GO:0098552;GO:0016477;GO:0090263;GO:1905475
Q9P2T0,Theg spermatid protein,Testis,GO:0005634;GO:0030154;GO:0051131;GO:0007283
A6NLU0,Ret finger protein like 4A,Liver,GO:0005737;GO:0005829;GO:0005654;GO:0046872;GO:0042803;GO:0019901;GO:0061630;GO:0045087;GO:0010508;GO:0043123;GO:0010468;GO:0032880;GO:0046596
P20062,Transcobalamin 2,Kidney,GO:0009897;GO:0005576;GO:0005615;GO:0043202;GO:0005886;GO:0140355;GO:0031419;GO:0046872;GO:0015889;GO:0006824
A6ND48,Olfactory receptor family 14 subfamily I member 1,Brain,GO:0005886;GO:0004930;GO:0005549;GO:0004984
Q9H6D8,Fibronectin type III domain containing 4,Liver,GO:0005783;GO:0005615;GO:0005886;GO:0050728;GO:0071559
P20742,PZP alpha-2-macroglobulin like,Liver,GO:0072562;GO:0070062;GO:0005576;GO:0005615;GO:0004866;GO:0002020;GO:0004867;GO:0007565
Q68CJ6,"Nuclear GTPase, germinal center associated",Liver,GO:0016607;GO:0005525;GO:0003924;GO:0071222;GO:0043066;GO:0033262
Q9H6L4,Armadillo repeat containing 7,Kidney,GO:0005681;GO:0006397;GO:0008380
Q5VU36,SPATA31 subfamily A member 5,Testis,GO:0016020;GO:0030154;GO:0007283
P62079,Tetraspanin 5,Brain,GO:0015629;GO:0005788;GO:0005654;GO:0005886;GO:0019899;GO:0045747;GO:0072659;GO:0051604;GO:0051043
O00198,"Harakiri, BCL2 interacting protein",Brain,GO:0016020;GO:0005739;GO:0006915;GO:0043065;GO:0031334;GO:0090200
Q9UI17,Dimethylglycine dehydrogenase,Kidney,GO:0005737;GO:0005759;GO:0005739;GO:0047865;GO:0009055;GO:0003723;GO:0006579;GO:0042426;GO:0019695
Q6PFW1,Diphosphoinositol pentakisphosphate kinase 1,Brain,GO:0005829;GO:0005886;GO:0033857;GO:0005524;GO:0000829;GO:0052723;GO:0000832;GO:0000828;GO:0000827;GO:0006020;GO:0032958;GO:0043647
Q96M43,NBPF member 4,Testis,GO:0005737
Q8N729,Neuropeptide W,Liver,GO:0005576;GO:0001664;GO:0007631;GO:0007186;GO:0007218
Q9BU61,NADH:ubiquinone oxidoreductase complex assembly factor 3,Testis,GO:0005743;GO:0005739;GO:0005634;GO:0032981
Q9Y5R2,Matrix metallopeptidase 24,Brain,GO:0070062;GO:0031012;GO:0005615;GO:0005886;GO:0032588;GO:0045296;GO:0008047;GO:0004222;GO:0008270;GO:0044331;GO:0098742;GO:0030574;GO:0050965;GO:0030198;GO:0010001;GO:0097150;GO:0006508
Q9Y5Q5,"Corin, serine peptidase",Heart,GO:0015629;GO:0009986;GO:0005576;GO:0016604;GO:0005886;GO:0004175;GO:0004252;GO:0007565;GO:0016486;GO:0008217;GO:1903779;GO:0035813;GO:0003050
Q9H115,NSF attachment protein beta,Brain,GO:0070062;GO:0098978;GO:0070044;GO:0005483;GO:0019905;GO:0006886;GO:0010807;GO:0035494;GO:0035249
Q96M11,HYLS1 centriolar and ciliogenesis associated,Testis,GO:0005814;GO:0005813;GO:0005929;GO:0005737;GO:0005829;GO:0097730;GO:0005634;GO:0005886;GO:0060271
Q9ULN7,PNMA family member 8B,Brain,
Q8WW36,Zinc finger CCHC-type containing 13,Testis,GO:0005737;GO:0003729;GO:0003727;GO:0045182;GO:0008270;GO:2000767
Q9UJ99,Cadherin 22,Brain,GO:0005912;GO:0016342;GO:0008013;GO:0045296;GO:0005509;GO:0034332;GO:0016339;GO:0016477;GO:0000902;GO:0044331;GO:0007043;GO:0007156
Q9NXD2,Myotubularin related protein 10,Brain,GO:0005737;GO:0005829;GO:0046856
P08172,Cholinergic receptor muscarinic 2,Heart,GO:0032279;GO:0043679;GO:0098981;GO:0030669;GO:0030425;GO:0098978;GO:0016020;GO:0043025;GO:0005886;GO:0045211;GO:0042734;GO:0032280;GO:0045202;GO:1990763;GO:0016907;GO:0007197;GO:0007188;GO:0007268;GO:0007213;GO:0007186;GO:0007187;GO:0007399;GO:0007207;GO:0099171;GO:0008016;GO:0006940;GO:0009615
A8MT33,Synaptonemal complex central element protein 1 like,Testis,GO:0045111;GO:0000795;GO:0007130
Q14439,G protein-coupled receptor 176,Brain,GO:0005886;GO:0045202;GO:0004930;GO:0007193;GO:0007268;GO:0048512;GO:0007186
O00744,Wnt family member 10B,Brain,GO:0005576;GO:0005615;GO:0005125;GO:0005109;GO:0048018;GO:0060346;GO:0060070;GO:0045165;GO:0071320;GO:0071374;GO:0071300;GO:0002062;GO:0030855;GO:0045444;GO:0061196;GO:0000086;GO:0071425;GO:0006629;GO:0048627;GO:0014835;GO:0120163;GO:0050680;GO:0045599;GO:0000122;GO:0030182;GO:0001649;GO:0043065;GO:0030501;GO:0090263;GO:0030858;GO:0010971;GO:1902035;GO:0045669;GO:0045899;GO:0045582;GO:0051885;GO:0050821;GO:0032434;GO:0048641;GO:0050909;GO:0048741;GO:0007224;GO:0030217;GO:0006366
Q6WBX8,RAD9 checkpoint clamp component B,Testis,GO:0030896;GO:0005654;GO:0005634;GO:0071479;GO:0006281;GO:0000076;GO:0031573
Q96MB7,Harbinger transposase derived 1,Testis,GO:0034451;GO:0005829;GO:0005634;GO:0005886;GO:0046872;GO:0004518
Q09470,Potassium voltage-gated channel subfamily A member 1,Brain,GO:0070161;GO:0016324;GO:0043194;GO:0043679;GO:0044305;GO:0030054;GO:0009986;GO:0031410;GO:0005829;GO:0030425;GO:0005783;GO:0098978;GO:0044224;GO:0016020;GO:0043025;GO:0033270;GO:0043204;GO:0005886;GO:0045211;GO:0042734;GO:0045202;GO:0008076;GO:0005251;GO:0097718;GO:1905030;GO:0099508;GO:0005249;GO:0001508;GO:0061564;GO:0010644;GO:0071286;GO:0021987;GO:0022038;GO:0050966;GO:0050976;GO:0021766;GO:0010960;GO:0086011;GO:0007405;GO:0050905;GO:0019228;GO:0023041;GO:0021554;GO:0071805;GO:0051260;GO:0008104;GO:0042391;GO:0006937;GO:0001964
Q96FC7,Phytanoyl-CoA 2-hydroxylase interacting protein like,Brain,GO:0005737
Q96IC2,RNA exonuclease 5,Testis,GO:0070062;GO:0005730;GO:0005634;GO:0004527;GO:0003723;GO:0031125
Q96SA4,Serine incorporator 2,Liver,GO:0070062;GO:0016020
Q8N428,Polypeptide N-acetylgalactosaminyltransferase 16,Heart,GO:0005794;GO:0000139;GO:0030246;GO:0046872;GO:0004653;GO:0006493;GO:0018242;GO:0018243
Q9H4F8,SPARC related modular calcium binding 1,Liver,GO:0005604;GO:0005615;GO:0005509;GO:0050840;GO:0008201;GO:0030154;GO:0030198;GO:0001654;GO:0060173;GO:0045667
Q16572,Solute carrier family 18 member A3,Brain,GO:0030121;GO:0030122;GO:0030669;GO:0060201;GO:0005886;GO:0030672;GO:0043195;GO:0005277;GO:0005278;GO:0015311;GO:0051630;GO:0007268;GO:0006836;GO:0014057;GO:1900273;GO:1904398;GO:0051610
Q02318,Cytochrome P450 family 27 subfamily A member 1,Liver,GO:0005743;GO:0005759;GO:0005739;GO:0047748;GO:0031073;GO:0020037;GO:0005506;GO:0008395;GO:0030343;GO:0006699;GO:0036378;GO:0006707;GO:0008203;GO:0016125
Q86XU0,Zinc finger protein 677,Testis,GO:0005634;GO:0000981;GO:0046872;GO:0000978;GO:0006357
O43570,Carbonic anhydrase 12,Kidney,GO:0016324;GO:0016323;GO:0016020;GO:0005886;GO:0004089;GO:0008270;GO:0055064;GO:0044849;GO:0006730
Q71RH2,TLC domain containing 3B,Brain,GO:0005783;GO:0005789;GO:0000139;GO:0050291;GO:0046513;GO:0055088;GO:0045599
Q6J272,Family with sequence similarity 166 member A,Testis,GO:0160111;GO:0036064;GO:0005634;GO:0036126;GO:0030317
Q6PEX7,Testis expressed 38,Testis,GO:0016020
Q6R2W3,Zinc finger BED-type containing 9,Testis,GO:0005737;GO:0005634;GO:0003676;GO:0015074;GO:0045787;GO:0050679
Q9BWV7,Tubulin tyrosine ligase like 2,Testis,GO:0036064;GO:0005524;GO:0046872;GO:0015631;GO:0070740;GO:0000226;GO:0036211
Q8IXW0,Lamin tail domain containing 2,Testis,GO:0005638;GO:0030527
Q9NYG8,Potassium two pore domain channel subfamily K member 4,Brain,GO:0033268;GO:0005886;GO:0034705;GO:0042802;GO:0098782;GO:0046872;GO:0015271;GO:0005267;GO:0022841;GO:0097604;GO:0071468;GO:0071469;GO:1904551;GO:0071398;GO:0071260;GO:0071502;GO:0050976;GO:0007613;GO:0019228;GO:0071805;GO:0006813;GO:1990478;GO:0019233;GO:0050951
Q9Y6R1,Solute carrier family 4 member 4,Kidney,GO:0016323;GO:0009986;GO:0070062;GO:0016020;GO:0005886;GO:0042802;GO:0008509;GO:0008510;GO:0005452;GO:0015293;GO:0015701;GO:0045821;GO:0051453;GO:0042391;GO:0036376;GO:0035725;GO:0006814;GO:0055085;GO:0150104
P35080,Profilin 2,Brain,GO:0005737;GO:0005856;GO:0070062;GO:0098978;GO:0098794;GO:0098793;GO:0098685;GO:0003779;GO:0003785;GO:0016887;GO:0005546;GO:0098885;GO:0030837;GO:0010633;GO:1900028;GO:0032233;GO:0030838;GO:0032781;GO:0033138;GO:0051496;GO:0099140;GO:0099171;GO:0050821;GO:0030833;GO:2000300
Q0VD86,"Inhibitor of CDK, cyclin A1 interacting protein 1",Testis,GO:0005737;GO:0016604;GO:0005654;GO:0005634;GO:0030332;GO:0004861;GO:0042802;GO:0044877;GO:0097190;GO:0048144;GO:0008285;GO:0045736;GO:0048147;GO:2001235
Q5U4P2,Aspartate beta-hydroxylase domain containing 1,Brain,GO:0016020;GO:0051213
Q9ULQ0,Striatin interacting protein 2,Brain,GO:0005737;GO:0005829;GO:0090443;GO:0016477;GO:0007010;GO:0008360
Q13508,ADP-ribosyltransferase 3 (inactive),Testis,GO:0070062;GO:0005576;GO:0005886;GO:0098552;GO:0003950;GO:0106274;GO:0016779
P18509,Adenylate cyclase activating polypeptide 1,Brain,GO:0005576;GO:0005615;GO:0043005;GO:0043204;GO:0005184;GO:0051428;GO:0016521;GO:0005102;GO:0031891;GO:0031892;GO:0007190;GO:0007189;GO:0007188;GO:0007267;GO:0007565;GO:0030073;GO:0045786;GO:0031175;GO:0007218;GO:0071651;GO:0120162;GO:0007204;GO:0070374;GO:0060124;GO:0043547;GO:0045860;GO:0045944;GO:0008277;GO:0032880
O15131,Karyopherin subunit alpha 5,Testis,GO:0005829;GO:0042564;GO:0005654;GO:0005634;GO:0061608;GO:0008139;GO:0006607;GO:0006606
Q5T655,Cilia and flagella associated protein 58,Testis,GO:0005813;GO:0005737;GO:0005856;GO:0005615;GO:0036126;GO:0097225;GO:0060271;GO:0030317;GO:0007219;GO:0120229;GO:0007288;GO:0120316;GO:0120317
Q9Y5I7,Claudin 16,Kidney,GO:0005923;GO:0005886;GO:0070160;GO:0042802;GO:0015095;GO:0160187;GO:0030165;GO:0005198;GO:0070830;GO:0016338;GO:0007155;GO:0010496;GO:0030003;GO:0030001;GO:0160184;GO:0070293
Q6P499,NIPA like domain containing 3,Brain,GO:0016020;GO:0015095;GO:0015693
Q9NWB1,RNA binding fox-1 homolog 1,Brain,GO:0005737;GO:0010494;GO:0097165;GO:0005634;GO:0005802;GO:0003729;GO:0003723;GO:0006397;GO:0007399;GO:0000381;GO:0008380;GO:0050658
P27144,Adenylate kinase 4,Kidney,GO:0005737;GO:0005759;GO:0005739;GO:0047506;GO:0004017;GO:0005524;GO:0036430;GO:0036431;GO:0005525;GO:0004550;GO:0050145;GO:0046899;GO:0006172;GO:0046033;GO:0046034;GO:0071456;GO:0046039;GO:0015949;GO:0009142;GO:0002082;GO:0009188
Q15760,G protein-coupled receptor 19,Brain,GO:0005929;GO:0005886;GO:0004930;GO:0007186
Q8TF21,Ankyrin repeat domain 24,Testis,GO:0005886;GO:0032420;GO:0003779;GO:0060088;GO:0007605
Q96MM7,Heparan sulfate 6-O-sulfotransferase 2,Brain,GO:0000139;GO:0017095;GO:0015015
Q4G0M1,Erythroferrone,Kidney,GO:0005576;GO:0005615;GO:0005179;GO:0042802;GO:0051649;GO:0015908;GO:0006879;GO:0043066;GO:0010507;GO:0045721;GO:0045668;GO:0045671;GO:0046326;GO:2000193;GO:0046628;GO:0051897;GO:0019217
Q9C0H6,Kelch like family member 4,Brain,GO:0034451;GO:0031463;GO:0005737;GO:0015630;GO:0003779;GO:1990756;GO:0043161
Q7RTT9,Solute carrier family 29 member 4,Brain,GO:0016324;GO:0016323;GO:0005886;GO:0098793;GO:0015562;GO:0008504;GO:0008324;GO:0005326;GO:0005337;GO:0005342;GO:0015101;GO:0019534;GO:0042910;GO:0032238;GO:1990748;GO:0015872;GO:0090494;GO:0048241;GO:0051625;GO:0140115;GO:0001692;GO:0051608;GO:0051615;GO:0015844;GO:0098655;GO:0006836;GO:0015874;GO:0051620;GO:1903825;GO:0015695;GO:0006837;GO:0051610;GO:0150104;GO:0042908
P43004,Solute carrier family 1 member 2,Brain,GO:0097449;GO:0030673;GO:0044297;GO:0009986;GO:0098978;GO:0016020;GO:0098796;GO:0045121;GO:0044306;GO:0005886;GO:0042734;GO:0031982;GO:0033229;GO:0015501;GO:0005314;GO:0005313;GO:0046872;GO:0008509;GO:0015175;GO:0030534;GO:0071314;GO:0007268;GO:0070779;GO:0006750;GO:0140009;GO:0070778;GO:0098712;GO:0015813;GO:0006811;GO:0035264;GO:0098810;GO:0006836;GO:0046326;GO:0070207;GO:0043200;GO:0009611;GO:0009410;GO:0021537;GO:0070633;GO:0150104;GO:0007632
