Uniprot,Gene description,Organ,GO
Q9Y6N8,Cadherin 10,Brain,GO:0005912;GO:0016342;GO:0098978;GO:0005886;GO:0008013;GO:0045296;GO:0005509;GO:0034332;GO:0016339;GO:0016477;GO:0000902;GO:0098609;GO:0044331;GO:0007043;GO:0007156;GO:0099560
Q8WXQ8,Carboxypeptidase A5,Testis,GO:0005615;GO:0004181;GO:0008270;GO:0006508
Q4G163,F-box protein 43,Testis,GO:0005634;GO:0008270;GO:0051321;GO:0010948;GO:0045835;GO:0016567;GO:0007088
Q16650,T-box brain transcription factor 1,Brain,GO:0000785;GO:0005634;GO:0031490;GO:0003700;GO:0000981;GO:0019901;GO:0000978;GO:0021764;GO:0007420;GO:0001708;GO:0021987;GO:0006338;GO:0021902;GO:0001661;GO:0010467;GO:0030902;GO:0045892;GO:0045944;GO:1902667;GO:0010975;GO:0006357;GO:0010092
P35520,Cystathionine beta-synthase,Liver,GO:0005737;GO:0005829;GO:0005634;GO:0070025;GO:0004122;GO:0019899;GO:0020037;GO:0042802;GO:0046872;GO:0072341;GO:0070026;GO:0050421;GO:0019825;GO:0042803;GO:0030170;GO:1904047;GO:0031625;GO:0097746;GO:0001974;GO:0060351;GO:0071456;GO:0021587;GO:0019344;GO:0006535;GO:0019343;GO:0042262;GO:0001958;GO:0043418;GO:0050667;GO:0070814;GO:0019448;GO:0006565;GO:0006563;GO:0060135;GO:0043066;GO:0010749;GO:0051593;GO:0006801;GO:0019346
Q96PV4,PNMA family member 5,Testis,GO:0042802;GO:0043065
Q8N3F9,G protein-coupled receptor 137C,Brain,GO:0005765;GO:1904263
Q8N5R6,Coiled-coil domain containing 33,Testis,GO:0005777
Q5VWT5,FYN binding protein 2,Liver,GO:0001772;GO:0045121;GO:0005886;GO:0033627;GO:0007229;GO:0072659;GO:0050852
Q15032,R3H domain containing 1,Brain,GO:0003723
P0DP25,Calmodulin 3,Brain,GO:0034704;GO:0044305;GO:1902494;GO:0005813;GO:0005737;GO:0043209;GO:0005634;GO:0005886;GO:0099523;GO:0032991;GO:0030017;GO:0097225;GO:0005876;GO:0000922;GO:0031982;GO:0008076;GO:0010856;GO:0008179;GO:0005509;GO:0048306;GO:0019901;GO:0072542;GO:0043539;GO:0031432;GO:0044325;GO:0097720;GO:0005513;GO:0007186;GO:0000086;GO:1905913;GO:1901842;GO:0010801;GO:0060315;GO:0010800;GO:0031954;GO:0071902;GO:0060316;GO:0140238;GO:0050848;GO:0098901;GO:0055117;GO:0010881;GO:1901844;GO:0032465;GO:0002027;GO:0010880;GO:0051592;GO:0021762
Q96BY2,Modulator of apoptosis 1,Brain,GO:0005737;GO:0005829;GO:0005741;GO:0005739;GO:0031625;GO:0097190;GO:0006914;GO:0097192;GO:0008625;GO:0008630;GO:0043065;GO:2000786;GO:0090200;GO:0051204;GO:0042981
Q13526,"Peptidylprolyl cis/trans isomerase, NIMA-interacting 1",Brain,GO:0036064;GO:0005737;GO:0005829;GO:0098978;GO:0030496;GO:0016607;GO:0005654;GO:0005634;GO:0099524;GO:0008013;GO:0016859;GO:0003774;GO:0032794;GO:0031434;GO:0003755;GO:0051219;GO:0050815;GO:0050816;GO:0140839;GO:0140840;GO:0048156;GO:1990757;GO:0071456;GO:1902430;GO:2000146;GO:0070373;GO:0032091;GO:0042177;GO:0060392;GO:0030512;GO:0030182;GO:0090263;GO:0043547;GO:0032092;GO:0001934;GO:0045944;GO:0000413;GO:0050821;GO:0006626;GO:0032465;GO:0010468;GO:0007088;GO:1900180;GO:0001932;GO:0031647;GO:0001666;GO:0050808
P20916,Myelin associated glycoprotein,Brain,GO:0043218;GO:0045121;GO:0097453;GO:0043209;GO:0035749;GO:0033270;GO:0005886;GO:0043220;GO:0030246;GO:1905576;GO:0042803;GO:0019901;GO:0033691;GO:0005102;GO:0031103;GO:0007155;GO:0098742;GO:0071260;GO:0032289;GO:0030517;GO:0043524;GO:0045665;GO:0010977;GO:0048711;GO:0031643;GO:0021762;GO:0019226
P31213,Steroid 5 alpha-reductase 2,Liver,GO:0070852;GO:0005789;GO:0043025;GO:0003865;GO:0047751;GO:0033218;GO:0030283;GO:0006702;GO:0008209;GO:0018879;GO:0060348;GO:0030154;GO:0007267;GO:0018894;GO:0030540;GO:0021766;GO:0021854;GO:0030539;GO:0008584;GO:0018963;GO:1904614;GO:0032354;GO:0031667;GO:0043434;GO:0048545;GO:0033574;GO:0009410;GO:0006694;GO:0006706;GO:0061370
O15431,Solute carrier family 31 member 1,Liver,GO:0016324;GO:0016323;GO:0031901;GO:0014704;GO:0031902;GO:0005886;GO:0055038;GO:0005507;GO:0005375;GO:0042802;GO:0015080;GO:0042910;GO:0001525;GO:0015677;GO:0006825;GO:0051649;GO:0006878;GO:0015679;GO:0051259;GO:1902601;GO:0036324;GO:0042908
A0A1B0GTU1,Zinc finger CCCH-type containing 11B,Testis,GO:0046872;GO:0016973
P0C7M4,Rhox homeobox family member 2B,Testis,GO:0000785;GO:0005634;GO:0000981;GO:0000977;GO:0010628;GO:0006357
Q3V5L5,"Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B",Brain,GO:0005794;GO:0000139;GO:0030144;GO:0030145;GO:0006487;GO:0018242
