Uniprot,GO
Q9UJM3,GO:0005737;GO:0005829;GO:0005634;GO:0005886;GO:0005096;GO:0019901;GO:0006915;GO:0006699;GO:0051216;GO:0016477;GO:0042632;GO:0008203;GO:0035988;GO:0007566;GO:0007173;GO:0050673;GO:0060613;GO:0010467;GO:0006006;GO:0036022;GO:0001889;GO:0048286;GO:0060428;GO:0060426;GO:0042059;GO:0007175;GO:0031953;GO:0043491;GO:0050847;GO:0072659;GO:0045616;GO:1904565;GO:0032355;GO:0032868;GO:0032570;GO:0009410;GO:0043589;GO:0001894;GO:0035847
O14810,GO:0044305;GO:0005829;GO:0098978;GO:0043204;GO:0098794;GO:0098685;GO:0031201;GO:0070554;GO:0043195;GO:0000149;GO:0019905;GO:0007268;GO:0006887;GO:0030073;GO:0050804;GO:0099145;GO:0017157;GO:0031630;GO:0016079
Q86V42,
Q08426,GO:0005829;GO:0005782;GO:0005777;GO:0018812;GO:0003857;GO:0004165;GO:0004300;GO:0019899;GO:0016863;GO:0016509;GO:0070403;GO:0006635;GO:0033540
Q9NX36,
O00230,GO:0005576;GO:0005615;GO:0045202;GO:0001664;GO:0005184;GO:0007193;GO:0007268;GO:0030334
Q2TAL6,GO:0032281;GO:0005604;GO:0005615;GO:0098890;GO:0098978;GO:0005614;GO:0030514;GO:0099645;GO:0010811;GO:0045666
Q13562,GO:0000785;GO:0005737;GO:0005654;GO:0005634;GO:0090575;GO:0003682;GO:0001228;GO:0003700;GO:0000981;GO:0070888;GO:0046982;GO:0061629;GO:1990837;GO:0035881;GO:0009952;GO:0061564;GO:0007259;GO:0071333;GO:0021549;GO:0021542;GO:0048562;GO:0031018;GO:0035883;GO:0042593;GO:0048839;GO:0030073;GO:0046426;GO:2000675;GO:0022008;GO:0006913;GO:0003326;GO:0003329;GO:0043065;GO:0045597;GO:0051091;GO:0045893;GO:0045666;GO:0045944;GO:2000679;GO:0050796;GO:0060730;GO:0009749;GO:0007423;GO:0023019;GO:0006366
Q8TBG9,GO:0043005;GO:0030672
P35372,GO:0030424;GO:0030425;GO:0005783;GO:0005768;GO:0005794;GO:0043005;GO:0043204;GO:0005886;GO:0045202;GO:0004979;GO:0004930;GO:0001965;GO:0031681;GO:0038047;GO:0042923;GO:0005245;GO:0007197;GO:0048149;GO:0038003;GO:0007187;GO:0043951;GO:0008285;GO:0051481;GO:0045019;GO:0061358;GO:0007218;GO:0007200;GO:0043950;GO:0007204;GO:0070374;GO:0050769;GO:0045429;GO:0080135;GO:2000310;GO:0007600;GO:0019233
Q5TZF3,GO:0032154;GO:0005737;GO:0090543;GO:0030496;GO:0008283
Q9Y5I1,GO:0005886;GO:0005509;GO:0007155;GO:0007156;GO:0007399
