Uniprot,GO
Q16667,GO:0005737;GO:0005829;GO:0005634;GO:0048471;GO:0033192;GO:0140791;GO:0140793;GO:1990439;GO:0017018;GO:0004726;GO:0004722;GO:0004725;GO:0030946;GO:0008138;GO:0180006;GO:0180007;GO:0180008;GO:0180005;GO:0180004;GO:0000082;GO:0008285;GO:0051726;GO:0000079
Q08AF8,
Q8N7Q3,GO:0005634;GO:0000981;GO:0046872;GO:0000978;GO:0006355
Q6ZMH5,GO:0016323;GO:0070062;GO:0005886;GO:0140410;GO:0005385;GO:0030509;GO:0034224;GO:0001654;GO:0070315;GO:0030003;GO:0061351;GO:0048026;GO:0071578;GO:0071577;GO:0006829
Q969Z3,GO:0005741;GO:0005739;GO:0005777;GO:0030151;GO:0043546;GO:0008940;GO:0098809;GO:0016661;GO:0030170;GO:0070458;GO:0051410;GO:0042126;GO:0006809
Q9UPX8,GO:0016324;GO:0031526;GO:0060170;GO:0005829;GO:0043197;GO:0098978;GO:0030426;GO:0098686;GO:0043005;GO:0043025;GO:0001917;GO:0001750;GO:0005886;GO:0014069;GO:0048786;GO:0035255;GO:0017124;GO:0098919;GO:0030160;GO:0030534;GO:0008344;GO:0008306;GO:0007612;GO:0060292;GO:0060291;GO:0035331;GO:0008284;GO:0099175;GO:0007584;GO:0009410;GO:0035176;GO:0007416;GO:0071625
O75037,GO:0005737;GO:0031410;GO:0030425;GO:0030426;GO:0005871;GO:0005874;GO:0005524;GO:0016887;GO:0008017;GO:0003777;GO:0007018
P48751,GO:0009897;GO:0016020;GO:0005886;GO:0015106;GO:0140900;GO:0005452;GO:0022857;GO:0015701;GO:0061337;GO:0086001;GO:0045851;GO:0098901;GO:0051453;GO:0055085;GO:0150104
P51449,GO:0000785;GO:0016604;GO:0005654;GO:0005634;GO:0003700;GO:0000981;GO:0001227;GO:0098531;GO:0004879;GO:0008142;GO:0000978;GO:1990837;GO:0008270;GO:0060612;GO:0036315;GO:0032922;GO:0048535;GO:0070244;GO:0000122;GO:0048541;GO:0042753;GO:0045893;GO:0045598;GO:0010906;GO:0019218;GO:0006357;GO:0072539;GO:0042093;GO:0006805
Q969I3,GO:0005739;GO:0047946;GO:0047961;GO:0006541
Q8TDN4,GO:0005829;GO:0005634;GO:0051301;GO:0007399;GO:0051726
Q86SK9,GO:0005789;GO:0046872;GO:0016491;GO:0004768;GO:0006636
Q08116,GO:0009898;GO:0005829;GO:0005886;GO:0005516;GO:0001965;GO:0005096;GO:0003924;GO:0007193;GO:0007186;GO:0006955;GO:0061737;GO:0009968;GO:0043547;GO:0009617;GO:0007165
Q4KMQ1,GO:0005737;GO:0005902;GO:0005654;GO:0032420;GO:0120044;GO:0003779;GO:0008157;GO:0004865;GO:0060088;GO:0007605;GO:0120045
Q9H8S5,GO:0000307;GO:0005737;GO:0005815;GO:0005634;GO:0016538;GO:0000082
O15069,GO:0005737;GO:0005854;GO:0005634;GO:0051082;GO:0006612;GO:0015031
Q9UPR6,GO:0003725;GO:0003727;GO:0008270
Q9UJQ7,GO:0005829
Q9NR83,GO:0005737;GO:0016607;GO:0005634;GO:0003700;GO:0046872;GO:0000978;GO:0006355;GO:0006357
P07320,GO:0005737;GO:0005634;GO:0005212;GO:0034614;GO:0002088;GO:0070306;GO:0007601
O76050,GO:0097440;GO:0043197;GO:0098978;GO:0043204;GO:0048471;GO:0005886;GO:0014069;GO:0046872;GO:0045183;GO:0061630;GO:0004842;GO:0071230;GO:0007595;GO:0008285;GO:0045746;GO:0007399;GO:0007219;GO:0043065;GO:0060999;GO:0051491;GO:0048170;GO:0090129;GO:0006513;GO:0150052;GO:0007519;GO:0007288
Q2VPJ9,
P00740,GO:0062023;GO:0005788;GO:0070062;GO:0005576;GO:0005615;GO:0005796;GO:0005886;GO:0005509;GO:0004175;GO:0046872;GO:0004252;GO:0007596;GO:0006508;GO:0031638
P24752,GO:0005783;GO:0070062;GO:0005759;GO:0005739;GO:0003985;GO:0016453;GO:0034736;GO:0120225;GO:0019899;GO:0042802;GO:0030955;GO:0006085;GO:0046356;GO:0060612;GO:0015937;GO:0015936;GO:0006635;GO:0006550;GO:0046952;GO:1902224;GO:0001889;GO:0072229;GO:1902860;GO:0009725;GO:0014070;GO:0042594
Q8N5W8,GO:0005576
P0C881,GO:0097729;GO:0005737;GO:0005856
Q96M69,GO:0001669;GO:0042995;GO:0005829;GO:0002177;GO:0005524;GO:0004385;GO:0035082;GO:0030154;GO:0007283
Q5VV43,GO:0030669;GO:0031410;GO:0005769;GO:0031901;GO:0043231;GO:0005886;GO:0033555;GO:0030517;GO:0048692;GO:2000171;GO:0001764;GO:0060391;GO:0010996
P01213,GO:0043679;GO:0030425;GO:0005576;GO:0098686;GO:0043025;GO:0098992;GO:0005886;GO:0001515;GO:0031628;GO:0007268;GO:0007218;GO:0007600
Q86Y01,GO:0005737;GO:0005829;GO:0016604;GO:0005654;GO:0005112;GO:0017124;GO:0003713;GO:0061630;GO:0031625;GO:0008270;GO:0007166;GO:1990830;GO:0006351;GO:0010001;GO:0045665;GO:0045581;GO:0007219;GO:0016567;GO:0008593;GO:0030217;GO:0006366
Q9BWC9,GO:0005829;GO:0005654
P0C7W6,GO:0005737;GO:0097225
Q8IXT2,GO:0000785;GO:0005634;GO:0001741;GO:0000981;GO:0042802;GO:0046872;GO:1990837;GO:0070828;GO:0007141;GO:0007548;GO:0007290
P10451,GO:0042995;GO:0005788;GO:0070062;GO:0005576;GO:0005615;GO:0005794;GO:0048471;GO:0005125;GO:0050840;GO:0005178;GO:0036094;GO:0006710;GO:0031214;GO:0007155;GO:0071394;GO:0046697;GO:0007566;GO:0048685;GO:0001649;GO:0045780;GO:0045893;GO:2000866;GO:1904612;GO:0036005;GO:0048545;GO:0033280
Q5VZB9,GO:0000785;GO:0005634;GO:0000981;GO:0042802;GO:0046872;GO:0000978;GO:1990837;GO:0060179;GO:0001541;GO:0006357;GO:0007548
Q14832,GO:0097449;GO:0030424;GO:0043197;GO:0098978;GO:0005886;GO:0014069;GO:0045211;GO:0042734;GO:0005246;GO:0004930;GO:0008066;GO:0001641;GO:0097110;GO:0033554;GO:0007268;GO:0007216;GO:0010467;GO:0007194;GO:0099170;GO:0051966
P07101,GO:0030424;GO:0005737;GO:0009898;GO:0031410;GO:0005829;GO:0030425;GO:0033162;GO:0005739;GO:0043005;GO:0005634;GO:0043204;GO:0048471;GO:0005790;GO:0008021;GO:0043195;GO:0016597;GO:0035240;GO:0019899;GO:0008199;GO:0008198;GO:0042802;GO:0019825;GO:0019904;GO:0034617;GO:0004511;GO:0015842;GO:0009653;GO:0009887;GO:0071312;GO:0071333;GO:0071363;GO:0071287;GO:0071316;GO:0071466;GO:0021987;GO:0042745;GO:0042416;GO:0006585;GO:0042755;GO:0048596;GO:0042418;GO:0042462;GO:0006631;GO:0016137;GO:0007507;GO:0003007;GO:1990384;GO:0033076;GO:0007612;GO:0007626;GO:0007617;GO:0007613;GO:0042421;GO:0018963;GO:0052314;GO:0043473;GO:0008016;GO:0014823;GO:0001975;GO:0051412;GO:0051602;GO:0032355;GO:0045471;GO:0045472;GO:0009635;GO:0001666;GO:0035902;GO:0035900;GO:0009416;GO:0032496;GO:0031667;GO:0043434;GO:0046684;GO:0009651;GO:0010043;GO:0035176;GO:0006665;GO:0001963;GO:0042214;GO:0007601
Q7Z5H3,GO:0005829;GO:0005925;GO:0098978;GO:0005634;GO:0005096;GO:0001525;GO:0030154;GO:0051058;GO:0099175;GO:0051056;GO:0007165
P05155,GO:0072562;GO:0062023;GO:0005788;GO:0070062;GO:0005576;GO:0005615;GO:0031093;GO:0004867;GO:0008015;GO:0007596;GO:0006958;GO:0042730;GO:0045087;GO:0001869
Q6ZVX9,GO:0005886;GO:0038023;GO:0005496
A0A0A6YYK4,GO:0005886;GO:0042101;GO:0002250;GO:0007166
Q13474,GO:0030425;GO:0098978;GO:0043204;GO:0005886;GO:0014069;GO:0008270;GO:0007417;GO:0050808;GO:0099536
Q96Q04,GO:0030424;GO:0030425;GO:0000139;GO:0004676;GO:0004679;GO:0005524;GO:0004677;GO:0004694;GO:0044024;GO:0072371;GO:1990244;GO:0035979;GO:0044025;GO:0140823;GO:0035175;GO:0044022;GO:0140855;GO:0035402;GO:0072354;GO:0140857;GO:0035403;GO:0044023;GO:0046872;GO:0004672;GO:0106310;GO:0072518;GO:0004711
Q96KD3,GO:0005794;GO:0001675;GO:0007340
Q8IYS8,GO:0005813;GO:0005737;GO:0000776;GO:0051301
B2RUZ4,GO:0009986;GO:0005886;GO:0042803
A6NHQ2,GO:0031428;GO:0015030;GO:0001650;GO:0005730;GO:0005654;GO:0032040;GO:1990259;GO:0003723;GO:0008649;GO:0001835;GO:0000494;GO:0031167
O94850,GO:0042995;GO:0005737;GO:0032591;GO:0005789;GO:0005634;GO:0043204;GO:0045211;GO:0098793;GO:0000981;GO:0000978;GO:0045944
Q6NSI3,GO:0005634;GO:0006606
Q99569,GO:0005912;GO:0030054;GO:0005911;GO:0001533;GO:0005737;GO:0009898;GO:0005856;GO:0030057;GO:0030496;GO:0072686;GO:0005634;GO:0048471;GO:0005886;GO:0014069;GO:0051233;GO:0000922;GO:0045296;GO:0098609;GO:0007043;GO:0007267;GO:0032467;GO:0043547;GO:0030155
A2IDD5,GO:0005814;GO:0005737;GO:0098536;GO:0048471;GO:0042383;GO:0016529;GO:0030030;GO:0098535;GO:0003009
Q9Y4P9,GO:0097729;GO:0016324;GO:1990716;GO:0005930;GO:0016323;GO:0097542;GO:0005737;GO:0030175;GO:0030027;GO:0005874;GO:0005902;GO:0001725;GO:0003779;GO:0008017;GO:1904158;GO:0016477;GO:0003341;GO:0046847;GO:0030032;GO:0001578;GO:0007026;GO:0051493;GO:2000095
Q9UHI7,GO:0016324;GO:0009925;GO:0005737;GO:0070062;GO:0043229;GO:0005886;GO:0033300;GO:0008520;GO:0015229;GO:0015205;GO:0015081;GO:0015143;GO:0007420;GO:0070837;GO:0019852;GO:0015882;GO:0030324;GO:0015851;GO:0009636;GO:0006814
P32320,GO:0005829;GO:0005576;GO:1904813;GO:0034774;GO:1904724;GO:0004126;GO:0042802;GO:0001882;GO:0042803;GO:0008270;GO:0007166;GO:0071217;GO:0009972;GO:0019858;GO:0030308;GO:0045980;GO:0008655;GO:0046898;GO:0044206
Q8TEX9,GO:0000785;GO:0005737;GO:0016020;GO:0005634;GO:0032991;GO:0061608;GO:0008139;GO:0031267;GO:0006606;GO:0034504
Q96A11,GO:0032580;GO:0016020;GO:0050656;GO:0030246;GO:0050694;GO:0001733;GO:0050698;GO:0009247;GO:0005996;GO:0009311;GO:0030309;GO:0030166;GO:0006790
O75508,GO:0030424;GO:0045178;GO:0005923;GO:0030054;GO:0005811;GO:0005883;GO:0005886;GO:0070160;GO:0042802;GO:0005198;GO:0008366;GO:0070830;GO:0016338;GO:0007155;GO:0007283;GO:0120192
Q9NSE2,GO:0005829;GO:0005886;GO:0005126;GO:0019221;GO:0035556;GO:0001960;GO:0046426;GO:0016567;GO:0001558
Q92558,GO:0015629;GO:0005856;GO:0005829;GO:0005925;GO:0030027;GO:0005741;GO:0098794;GO:0032991;GO:0031209;GO:0003779;GO:0071933;GO:0051018;GO:0034237;GO:0030036;GO:0030041;GO:1990416;GO:0097484;GO:0072673;GO:0007005;GO:0098885;GO:2000601;GO:0051388;GO:0065003;GO:0016601;GO:0006898
O43448,GO:0005737;GO:0005886;GO:0008076;GO:0004033;GO:0015459;GO:0044325;GO:0005249;GO:0006813;GO:1901379
P98164,GO:0016324;GO:0030424;GO:0031526;GO:0030669;GO:0005905;GO:0030425;GO:0005783;GO:0031904;GO:0009897;GO:0070062;GO:0005794;GO:0005765;GO:0005764;GO:0005886;GO:0043235;GO:0005509;GO:0038024;GO:0042562;GO:0031994;GO:0005041;GO:0140318;GO:0051087;GO:0017124;GO:0097242;GO:0035904;GO:0008283;GO:0071363;GO:0015889;GO:0060982;GO:1904888;GO:0034311;GO:0006897;GO:1904447;GO:0030900;GO:0010467;GO:0001822;GO:0006629;GO:0008584;GO:0030001;GO:0043066;GO:0030514;GO:0001843;GO:0140058;GO:0003148;GO:0043491;GO:1905167;GO:0050769;GO:0070447;GO:0015031;GO:0061156;GO:0006898;GO:0044321;GO:0001523;GO:0003139;GO:0007605;GO:0045056;GO:0150104;GO:0060068;GO:0003223;GO:0003281;GO:0042359
O00264,GO:0044297;GO:0012505;GO:0005783;GO:0005576;GO:0016020;GO:0005741;GO:0043005;GO:0043025;GO:0005886;GO:0030868;GO:0035579;GO:0045202;GO:0001540;GO:0020037;GO:0046872;GO:0042803;GO:0005496;GO:0006783;GO:0140077;GO:1903078
Q86SQ6,GO:0098978;GO:0016020;GO:0005886;GO:0014069;GO:0004930;GO:0007166;GO:0007186;GO:0007165
Q9BWV2,GO:0016020;GO:0030154;GO:0007283
O15457,GO:0005694;GO:0005634;GO:0005713;GO:0000795;GO:0005524;GO:0140664;GO:0003677;GO:0003690;GO:0030983;GO:0007292;GO:0007129;GO:0006298;GO:0001541;GO:0007131;GO:0007283
P0DJI9,GO:0070062;GO:0034364;GO:0006953
O00300,GO:0031012;GO:0005576;GO:0005615;GO:0005886;GO:0043235;GO:0005125;GO:1904399;GO:0038023;GO:0006915;GO:0030198;GO:0045779;GO:0042489;GO:0045671;GO:0010804;GO:0046685;GO:0043627;GO:0032026;GO:0007584;GO:0009410;GO:0007165;GO:0001501
P0DMB1,
O95045,GO:0005829;GO:0045098;GO:0047847;GO:0042802;GO:0004850;GO:0006249;GO:0009116;GO:0044206;GO:0006218;GO:0046108
Q9UL62,GO:0034704;GO:0034703;GO:0030425;GO:0030426;GO:0043025;GO:0005886;GO:0098793;GO:0003779;GO:0042805;GO:0051117;GO:0005262;GO:0030276;GO:0070679;GO:0015279;GO:0070588;GO:0006816;GO:0050774;GO:0007399;GO:0051402;GO:0030182;GO:0070782;GO:0045773;GO:0008284;GO:0007204;GO:0045666;GO:0051480;GO:1902630
Q9H165,GO:0005737;GO:0005829;GO:0016363;GO:0005654;GO:0005634;GO:0042382;GO:0098794;GO:0016514;GO:0003700;GO:0140297;GO:0001227;GO:0046872;GO:0046982;GO:0042803;GO:0019901;GO:0000978;GO:0003712;GO:0001067;GO:1905232;GO:0030517;GO:2000173;GO:0048671;GO:2000171;GO:1903860;GO:0010977;GO:1904800;GO:0032463;GO:0000122;GO:0048672;GO:0010628;GO:0010976;GO:0045944;GO:0016925;GO:0050773;GO:0006357
Q92782,GO:0000785;GO:0005737;GO:0071565;GO:0005654;GO:0046872;GO:1990837;GO:0006915;GO:0006338;GO:0007399;GO:0045597;GO:2000781;GO:0070316;GO:2000045;GO:0030071;GO:2000819;GO:0006357
Q8N412,
Q9GZN6,GO:0005886;GO:0005326;GO:0015293;GO:0006865;GO:0006836;GO:0035725
O75364,GO:0000785;GO:0005634;GO:0001228;GO:0000981;GO:0000978;GO:1990837;GO:0009653;GO:0009887;GO:1990792;GO:0071542;GO:0002088;GO:0070306;GO:0002089;GO:0007626;GO:0030901;GO:0014014;GO:0048666;GO:1904935;GO:0045893;GO:0043525;GO:0006355;GO:0006357;GO:0042220;GO:0035902;GO:1904313
Q15392,GO:0005737;GO:0005783;GO:0005789;GO:0000139;GO:0016020;GO:0005634;GO:0000246;GO:0050614;GO:0019899;GO:0071949;GO:0016628;GO:0042605;GO:0042987;GO:0006695;GO:0033489;GO:0033490;GO:0030539;GO:0061024;GO:0008285;GO:0031639;GO:0008104;GO:0007265;GO:0009725;GO:0043588;GO:0008202;GO:0009888
Q6S9Z5,GO:0046872
D6RF30,GO:0005801;GO:0000137;GO:0032580;GO:0007030
Q9UGM5,GO:0070062;GO:0005576;GO:0004869;GO:0008191;GO:0007339;GO:0010951;GO:0007338
Q9Y3Q4,GO:0030424;GO:0030425;GO:0098855;GO:0048471;GO:0005886;GO:0030552;GO:0042802;GO:0005222;GO:0005249;GO:0086041;GO:0005248;GO:0008015;GO:0071320;GO:0071321;GO:0086012;GO:0086046;GO:0006812;GO:0006936;GO:1990573;GO:0071805;GO:0098909;GO:0055117;GO:0002027;GO:0086091;GO:0003254;GO:0042391;GO:0086015;GO:0003163;GO:0098719;GO:0035725
Q8NDY3,GO:0030017;GO:0003875;GO:0000287;GO:0003242;GO:0055003;GO:0051725
Q5GH76,GO:0005886;GO:1902742;GO:0043652;GO:0070782
P0DTE4,GO:0005789;GO:0015020;GO:0008206;GO:0052695;GO:0007606;GO:0007608
P0DPH7,GO:0005737;GO:0005874;GO:0015630;GO:0005634;GO:0005525;GO:0016787;GO:0046872;GO:0005200;GO:0000226;GO:0000278
P43146,GO:0044295;GO:0009986;GO:0005829;GO:0005886;GO:0098839;GO:0098685;GO:0004888;GO:0033564;GO:0006915;GO:0007411;GO:0007409;GO:0098609;GO:0033563;GO:0048671;GO:2000171;GO:0010977;GO:0001764;GO:0099170;GO:0021965
P50440,GO:0070062;GO:0005743;GO:0005758;GO:0005739;GO:0015067;GO:0015068;GO:0006601;GO:0006600;GO:0007611;GO:0014889;GO:0120162
Q8IZU3,GO:0000775;GO:0000800;GO:0005634;GO:0000795;GO:0003677;GO:0051301;GO:0007141;GO:0051321;GO:0035092;GO:0007286
Q96HZ4,GO:0000785;GO:0005634;GO:0005667;GO:0003700;GO:0000981;GO:0001227;GO:0046983;GO:0000978;GO:0061629;GO:1990837;GO:0009952;GO:0030154;GO:0043433;GO:0007399;GO:0006355;GO:0050767;GO:0006357
Q86X40,GO:0035556
Q8WXD2,GO:0005788;GO:0005576;GO:0034774;GO:0030667;GO:0030658;GO:0003723;GO:0033366
Q8IZU0,GO:0005694;GO:0005737;GO:0005654;GO:0005634;GO:0000795;GO:0051321;GO:0007286
Q9C0B6,GO:0005737;GO:0030425;GO:0005576;GO:0043025;GO:0071300;GO:0021953;GO:0045930;GO:0045666
P00739,GO:0072562;GO:0070062;GO:0005576;GO:0005615;GO:0034366;GO:0030492;GO:0004252
Q8NCU8,GO:0005743;GO:0005739;GO:0045333;GO:0006635;GO:0006629;GO:0032000;GO:0010918;GO:0031334;GO:0051284;GO:0051146;GO:0070328
Q9P2U8,GO:0034707;GO:0060076;GO:0043005;GO:0005886;GO:0030672;GO:0005254;GO:0005313;GO:0140788;GO:0005326;GO:0015386;GO:0005436;GO:1990384;GO:0051938;GO:0006820;GO:0006811;GO:0098700;GO:0055062;GO:0006817;GO:0050803;GO:0044341;GO:0035249
A0A1B0GTH6,GO:0005634
Q9NQ35,GO:0004190;GO:0006508
Q9Y3M9,GO:0005634;GO:0000981;GO:0046872;GO:0000977;GO:0006357
Q8WXJ9,GO:0005829;GO:0035556;GO:0016567
Q8IY49,GO:0000139;GO:0048471;GO:0004672;GO:0045666;GO:0045860;GO:0046579;GO:0032880
Q96P56,GO:0036128;GO:0031514;GO:0005886;GO:0005227;GO:0005245;GO:0006816;GO:0009566;GO:0030317;GO:0048240
A0A1B0GUS4,GO:0005634;GO:0005524;GO:0016874;GO:0061631;GO:0070979;GO:0006511
Q9Y6L6,GO:0009925;GO:0016323;GO:0016020;GO:0005886;GO:0015125;GO:0008514;GO:0015132;GO:0015347;GO:0015349;GO:0015721;GO:0042167;GO:0006811;GO:0015711;GO:0043252;GO:0006805
P62508,GO:0000785;GO:0005654;GO:0050682;GO:0001228;GO:0000981;GO:0034056;GO:0042802;GO:0004879;GO:0003707;GO:1990837;GO:0005496;GO:0008270;GO:0030518;GO:0120162;GO:0045944;GO:0006355;GO:0006357;GO:0048384
Q99592,GO:0000792;GO:0016607;GO:0005654;GO:0005634;GO:0003677;GO:0000981;GO:0001227;GO:0046872;GO:0043565;GO:1990837;GO:0045892;GO:0000122;GO:0045944;GO:0006357;GO:0007519
O75077,GO:0005576;GO:0098978;GO:0005886;GO:0042734;GO:0005178;GO:0004222;GO:0008237;GO:0007155;GO:1990830;GO:0007417;GO:0006508
Q9P0X4,GO:0005886;GO:0005891;GO:0008331;GO:0005245;GO:0098703;GO:0019228;GO:0007165;GO:0030431
Q86YS6,GO:0012505;GO:0070062;GO:0005794;GO:0045335;GO:0030670;GO:0032588;GO:0005525;GO:0003924;GO:0000045;GO:0071346;GO:0007030;GO:0006886;GO:0090382;GO:0035526;GO:0019068
P85298,GO:0005737;GO:0005829;GO:0005096;GO:2001136;GO:0070374;GO:0051056;GO:0007264
O60939,GO:0043194;GO:0033268;GO:0005886;GO:0045202;GO:0030315;GO:0001518;GO:0017080;GO:1902282;GO:0086006;GO:0061337;GO:0086002;GO:0060048;GO:0007268;GO:0010467;GO:0086010;GO:0086012;GO:0007399;GO:0010765;GO:0060371;GO:0086091;GO:0009408;GO:0046684
Q8TDY3,GO:0005737;GO:0005856
Q4G0S7,
Q9UI47,GO:0005912;GO:0005737;GO:0005856;GO:0030057;GO:0005916;GO:0030027;GO:0051015;GO:0008013;GO:0045296;GO:0086073;GO:0016477;GO:0098609;GO:0086091;GO:0098911
Q6ZMV7,
Q16850,GO:0005789;GO:0016020;GO:0020037;GO:0005506;GO:0016491;GO:0016712;GO:0008398;GO:0006695;GO:0033488;GO:1900222;GO:0042177;GO:0050709;GO:0006694;GO:0016125
P35346,GO:0043005;GO:0005886;GO:0042923;GO:0004994;GO:0071385;GO:0007186;GO:0007187;GO:0008285;GO:0007218;GO:0032467;GO:0050796
Q5JUK2,GO:0000785;GO:0005737;GO:0005634;GO:0000981;GO:0046982;GO:0042803;GO:0000976;GO:0030154;GO:0009994;GO:0007283
Q9BXG8,GO:0005737;GO:0005634;GO:0003677;GO:0003700
Q9H159,GO:0005912;GO:0016342;GO:0005886;GO:0008013;GO:0045296;GO:0005509;GO:0034332;GO:0016339;GO:0016477;GO:0000902;GO:0044331;GO:0007043;GO:0007156
Q15121,GO:0005829;GO:0043231;GO:0005875;GO:0005654;GO:0006915;GO:0000165;GO:0046325;GO:1902042;GO:1902043
P0DPH9,
Q658N2,GO:0000139;GO:0008146
P0C7V6,GO:0005615;GO:0000124;GO:0003712;GO:0006357
Q9BRU2,GO:0005654;GO:0005634;GO:0045892;GO:0032088
A0A1B0GUV1,
A6NKX4,GO:0016020;GO:0022857;GO:0006811
Q9UJT2,GO:0005814;GO:0005737;GO:0019901
P49006,GO:0005737;GO:0005856;GO:0070062;GO:0005886;GO:0051015;GO:0005516;GO:0007015;GO:0008283;GO:0007417;GO:0008284
Q92932,GO:0101003;GO:0005886;GO:0043235;GO:0030141;GO:0030667;GO:0045202;GO:0030672;GO:0140793;GO:0004726;GO:0030946;GO:0005001;GO:0035773;GO:0006629;GO:0007269;GO:0006470;GO:0051046
Q5HYN5,
Q7RTU9,GO:0009986;GO:0060091;GO:0032426;GO:0060088;GO:0007160;GO:0050910;GO:0008104
Q6P7N7,GO:0016020
Q8IUE0,GO:0000785;GO:0005634;GO:0000981;GO:0001227;GO:0000978;GO:1990837;GO:0000122
P08247,GO:0060076;GO:0031594;GO:0043005;GO:0048471;GO:0048786;GO:0042734;GO:0098685;GO:0008021;GO:0030672;GO:0043195;GO:0015485;GO:0042802;GO:0042169;GO:0006897;GO:0048169;GO:0048168;GO:2000474;GO:0048172;GO:0010807;GO:0016188;GO:0048499
P10092,GO:0005576;GO:0005615;GO:0031716;GO:0005179;GO:0005184;GO:0007189;GO:1990408;GO:0006874;GO:0051480;GO:0007165
P09430,GO:0001673;GO:0000786;GO:0005634;GO:0003677;GO:0006338;GO:0030317;GO:0031507;GO:0045892;GO:0006337;GO:0010954;GO:0019953;GO:0000012;GO:0035092;GO:0035041;GO:0007286;GO:0007289;GO:0007290
Q9H2C1,GO:0000785;GO:0005634;GO:0000981;GO:0000977;GO:1990837;GO:0008270;GO:0021846;GO:0021702;GO:0021937;GO:0021879;GO:0021766;GO:0007405;GO:0030182;GO:0045893;GO:1902692;GO:0006357;GO:0021527
P51170,GO:0016324;GO:0009897;GO:0070062;GO:0005654;GO:0005886;GO:0034706;GO:0015280;GO:0005216;GO:0005272;GO:0050699;GO:0071468;GO:1904045;GO:1904117;GO:0006883;GO:0050891;GO:0008217;GO:0050914;GO:0050915;GO:0055078;GO:0098719;GO:0035725;GO:0006814
P05062,GO:0034451;GO:0005829;GO:0070062;GO:0005815;GO:0051117;GO:0008092;GO:0070061;GO:0061609;GO:0004332;GO:0042802;GO:0060090;GO:0030388;GO:0061624;GO:0006000;GO:0006094;GO:0006096;GO:0006116;GO:1905856;GO:0032781;GO:0070072
Q8NCB2,GO:0005737;GO:0030659;GO:0098978;GO:0005886;GO:0045202;GO:0005524;GO:0004683;GO:0005516;GO:0050804;GO:0099159;GO:0007165
Q8N2C7,GO:0030424;GO:0034703;GO:0005886;GO:0005261;GO:0055080
Q5VUB5,GO:0005886;GO:0008360;GO:0043149
Q96QD5,GO:0035556
Q96LL4,
Q96PD5,GO:0070062;GO:0005576;GO:0016020;GO:0008745;GO:0042834;GO:0016019;GO:0008270;GO:0051701;GO:0042742;GO:0050830;GO:0016045;GO:0006955;GO:0045087;GO:0032827;GO:0032689;GO:0001519;GO:0009253;GO:0050727
Q96MN2,GO:0005737;GO:0005829;GO:0005524;GO:0060090;GO:0006954;GO:0045824;GO:0050727
Q9UJ68,GO:0015629;GO:0005737;GO:0005829;GO:0070062;GO:0043231;GO:0030496;GO:0005739;GO:0005654;GO:0005886;GO:0036456;GO:0008113;GO:0034599;GO:0006555;GO:0036211;GO:0030091;GO:0006979
Q8N8V4,GO:0005903;GO:0005789;GO:0005902;GO:0005886;GO:1904970;GO:0030154;GO:1904106;GO:0065003;GO:0034976
Q9ULD8,GO:0016020;GO:0034702;GO:0005886;GO:0005242;GO:0005249;GO:0071805;GO:0006813;GO:0042391
P50458,GO:0000785;GO:0005634;GO:0003682;GO:0001228;GO:0000981;GO:0046872;GO:0000978;GO:0000977;GO:0048675;GO:0007411;GO:0021987;GO:0009953;GO:0001942;GO:0045199;GO:0007498;GO:0045814;GO:0050768;GO:0001843;GO:0030182;GO:0021772;GO:0045893;GO:2000179;GO:0006357;GO:0060041;GO:0021978
A6NGB0,GO:0016020
Q8N9B8,GO:0005829;GO:0005886;GO:0005085;GO:0016477;GO:0046579;GO:0007265
O75031,GO:0005694;GO:0005829;GO:0005654;GO:1990918;GO:0007144;GO:0007141;GO:0007283;GO:0006366
P35414,GO:0005886;GO:0060182;GO:0004930;GO:0038023;GO:0007193;GO:0007512;GO:0001525;GO:0035904;GO:0060183;GO:0003171;GO:0001568;GO:0060976;GO:0003272;GO:0007186;GO:0007369;GO:0007507;GO:0001947;GO:0043951;GO:0010629;GO:0045766;GO:1903589;GO:1904022;GO:0051281;GO:0050878;GO:1903596;GO:0010468;GO:0035886;GO:0001944;GO:0001570;GO:0060841;GO:0060412
Q3B7T3,GO:0016020
Q8NBL3,GO:0005789;GO:0045671;GO:0051480
A6NLX3,GO:0019901
Q92832,GO:0005737;GO:0005615;GO:0005635;GO:0048471;GO:0005509;GO:0008201;GO:0042802;GO:0005080;GO:0030154;GO:0033689;GO:0042177;GO:0007399;GO:0043065;GO:0030501;GO:0045778;GO:0045669;GO:0010468;GO:0045667
Q96PY5,GO:0005829;GO:0051015;GO:0045296;GO:0031267;GO:0016477;GO:0030866;GO:0007010;GO:0022604;GO:0008360
Q9BXA6,GO:0160110;GO:0005634;GO:0036126;GO:0004676;GO:0004679;GO:0005524;GO:0004677;GO:0004694;GO:0044024;GO:0072371;GO:1990244;GO:0035979;GO:0044025;GO:0140823;GO:0035175;GO:0044022;GO:0140855;GO:0035402;GO:0072354;GO:0140857;GO:0035403;GO:0044023;GO:0000287;GO:0106310;GO:0004674;GO:0044877;GO:0072518;GO:0004711;GO:0030317;GO:0006468;GO:0035092
